Truth(English),Truth (Telugu),Predicted
ashley,యాష్లీ,ఆాష్లీ
bhadauria,భదౌరియా,భదౌరియా
dhyananni,ధ్యానాన్ని,ధ్యానాన్ని
manda,మంద,మంద
omkaaramu,ఓంకారము,ఒంకారము
praminchabadaalane,ప్రేమించబడాలనే,ప్రేమించబడాలనే
satyamuurti,సత్యమూర్తి,సత్యమూర్తి
chaarulatha,చారులత,చారులత
santvana,సాంత్వన,సాంత్వన
pallaki,పల్లకీ,పల్లకీ
airla,ఐర్ల,ఐర్ల
itharalu,ఇతరాలు,ఇతరాలు
vidhalaina,విధాలైన,విధాలైన
cantu,కాంటు,కాంటు
chinukulu,చినుకులు,చినుకులు
malamoo,మలము,మలము
keshri,కేసరి,కేసరి
saadhinchukunna,సాధించుకున్న,సాధించుకున్న
goodalaloo,గోడలలో,గోడలలో
sthala,స్థల,స్థల
orgaan,ఆర్గాన్,ఆర్గాన్
bonilla,బోనిల్ల,బోనిల్ల
ajeernamu,అజీర్ణము,అజీర్ణము
gigaahetj,గిగాహెట్జ్,గిగాహెట్జ్
egaradaniki,ఎగరడానికి,ఎగరడానికి
teeyataaniki,తీయటానికి,తీయటానికి
paara,పార,పార
tagani,తగని,తగని
koravadutunnaayi,కొరవడుతున్నాయి,కొరవడుతున్నాయి
khaataadaarulu,ఖాతాదారులు,ఖాతాదారులు
erpadite,ఏర్పడితే,ఏర్పడితే
raajamamdri,రాజమండ్రి,రాజమండ్రి
pattanhaabhivruddhi,పట్టణాభివృద్ధి,పట్టణాభివృద్ధి
ayers,అయర్స్,అయర్స్
noothanamga,నూతనంగా,నూతనంగా
strilantaa,స్త్రీలంతా,స్త్రీలంతా
vaartaapathrikalu,వార్తాపత్రికలు,వార్తాపత్రికలు
cherutundani,చేరుతుందని,చేరుతుందని
remduna,రెండున,రెండున
australiapai,ఆస్ట్రేలియాపై,ఆస్ట్రేలియాపై
videeha,విదేహ,విదేహ
logan,లోగాన్,లోగాన్
rafael,రాఫయిల్,రాఫయిల్
saadhimchina,సాధించిన,సాధించిన
abhimaanaanni,అభిమానాన్ని,అభిమానాన్ని
devadoota,దేవదూత,దేవదూత
hardoi,హర్దోయీ,హర్దోయీ
weir,వీర్,వీర్
cheylleliki,చెల్లెలికి,చెల్లెలికి
uchhaarana,ఉచ్ఛారణ,ఉచ్చారణ
saadhinchukontunnaaru,సాధించుకొంటున్నారు,సాధించుకొంటున్నారు
matasdhulu,మతస్ధులు,మతస్ధులు
abhinandistunnaamu,అభినందిస్తున్నాము,అభినందిస్తున్నాము
dutta,డుట్ట,డుట్ట
sirshikaku,శీర్షికకు,శీర్షికకు
palakaa,పలకా,పలకా
yaantrika,యాంత్రిక,యాంత్రిక
bhoobhaagaalanu,భూభాగాలను,భూభాగాలను
pune,పూణే,పూణే
galadu,గలదు,గలదు
samrakshinchee,సంరక్షించే,సంరక్షించే
praadhaanyangaa,ప్రాధాన్యంగా,ప్రాధాన్యంగా
sweeney,స్వీనే,స్వీనే
ennaduu,ఎన్నడూ,ఎన్నడూ
vijayamgaa,విజయంగా,విజయంగా
pattukoniri,పట్టుకొనిరి,పట్టుకొనిరి
lane,లేన్,లేన్
viruddangaa,విరుద్దంగా,విరుద్దంగా
sambhashanalalo,సంభాషణలలో,సంభాషణలలో
basataga,బాసటగా,బాసటగా
nashik,నాశిక్,నాశిక్
teesukonnaaru,తీసుకొన్నారు,తీసుకొన్నారు
rani,రాని,రాని
mastek,మస్టిక్,మస్టిక్
glenn,గ్లెన్,గ్లెన్
veyu,వేయు,వేయు
maatlaadutundi,మాట్లాడుతుంది,మాట్లాడుతుంది
maedae,మేడే,మేడే
ardra,ఆర్ద్ర,ఆర్ద్ర
nimishamlo,నిమిషంలో,నిమిషంలో
thaeta,తేట,తేట
dheevaalayamlooni,దేవాలయంలోని,ధేవాలయంలోని
hiroine,హీరోయిన్,హీరోయిన్
imdrunitoe,ఇంద్రునితో,ఇంద్రునితో
upaadhyaayulanu,ఉపాధ్యాయులను,ఉపాధ్యాయులను
gurdlanu,గ్రుడ్లను,గ్రుడ్లను
shipping,షిప్పింగ్,షిప్పింగ్
meda,మేడ,మేడ
cherukunnaadu,చేరుకున్నాడు,చేరుకున్నాడు
collectaru,కలెక్టరు,కలెక్టరు
punaruddarinchaaru,పునరుద్ధరించారు,పునరుద్ధరించారు
brewer,బ్రూవర్,బ్రూవర్
yemathram,ఏమాత్రం,యైాత్రం
chetanatvamloki,చేతనత్వంలోకి,చేతనత్వంలోకి
chiilchi,చీల్చి,చీల్చి
maarchaalani,మార్చాలని,మార్చాలని
taneja,తనేజా,తనేజా
prananni,ప్రాణాన్ని,ప్రాణాన్ని
aerpadadaaniki,ఏర్పడడానికి,ఆర్పడడానికి
bacchan,బచ్చన్,బా్చన్
isuzu,ఇజూజూ,ఇసూజూ
namuunaalanu,నమూనాలను,నమూనాలను
deelks,డీలక్స్,డీలక్స్
avakaashaalunnaayi,అవకాశాలున్నాయి,అవకాశాలున్నాయి
baadhinche,బాధించే,బాధించే
kali,కాళీ,కాళీ
chidatalu,చిడతలు,చిడతలు
shmashanavatikalo,శ్మశానవాటికలో,శ్మశానవాటికలో
nerchukolekapovadaaniki,నేర్చుకోలేకపోవడానికి,నేర్చుకోలేకపోవడానికి
veellu,వీళ్ళు,వీళ్ళు
oneta,ఓనేత,ఓనేత
rupa,రుప,రుప
thedaala,తేడాల,తేడాల
tappinchukune,తప్పించుకునే,తప్పించుకునే
cooch,కోచ్,కోచ్
bakaayi,బకాయి,బకాయి
aaustrelia,ఆస్ట్రేలియా,ఆస్ట్రేలియా
samuraam,సమురాయ్,సమురాయ్
dehri,డెహ్రి,డెహ్రి
machchika,మచ్చిక,మచ్చిక
nimishaaniki,నిమిషానికి,నిమిషానికి
praardhana,ప్రార్ధన,ప్రార్ధన
rajamandriki,రాజమండ్రికి,రాజమండ్రికి
kshetramaina,క్షేత్రమైన,క్షేత్రమైన
unnantavarakuu,ఉన్నంతవరకూ,ఉన్నంతవరకూ
neerasthulaku,నేరస్థులకు,నేరస్థులకు
glaasullone,గ్లాసుల్లోనే,గ్లాసుల్లోనే
maarutee,మారుతీ,మారుతీ
sambhaashanhalaku,సంభాషణలకు,సంభాషణలకు
aduputappi,అదుపుతప్పి,అదుపుతప్పి
konasaagadam,కొనసాగడం,కొనసాగడం
teleservices,టెలిసర్వీసెస్,టెలిసర్వీసెస్
navkar,నవ్కర్,నవ్కర్
noble,నోబెల్,నోబెల్
guumma,గుమ్మా,గుమ్మా
natisthune,నటిస్తూనే,నటిస్తూనే
bowie,బౌవీ,బౌవీ
andistunnatlu,అందిస్తున్నట్లు,అందిస్తున్నట్లు
ganguli,గంగూలీ,గంగూలీ
luucky,లక్కీ,లొ్కీ
harlingen,హర్లింజన్,హర్లింజన్
